Adj Close,Close,High,Low,Open,Volume
16.66,16.66,16.66,16.66,16.66,1260000
16.85,16.85,16.85,16.85,16.85,1890000
16.93,16.93,16.93,16.93,16.93,2550000
16.98,16.98,16.98,16.98,16.98,2010000
17.08,17.08,17.08,17.08,17.08,2520000
17.030001,17.030001,17.030001,17.030001,17.030001,2160000
17.09,17.09,17.09,17.09,17.09,2630000
16.76,16.76,16.76,16.76,16.76,2970000
16.67,16.67,16.67,16.67,16.67,3330000
16.719999,16.719999,16.719999,16.719999,16.719999,1460000
16.860001,16.860001,16.860001,16.860001,16.860001,1790000
16.85,16.85,16.85,16.85,16.85,1570000
16.870001,16.870001,16.870001,16.870001,16.870001,1170000
16.9,16.9,16.9,16.9,16.9,1440000
16.92,16.92,16.92,16.92,16.92,1340000
16.860001,16.860001,16.860001,16.860001,16.860001,1250000
16.74,16.74,16.74,16.74,16.74,1700000
16.73,16.73,16.73,16.73,16.73,1150000
16.82,16.82,16.82,16.82,16.82,1250000
17.02,17.02,17.02,17.02,17.02,1640000
17.049999,17.049999,17.049999,17.049999,17.049999,1690000
17.049999,17.049999,17.049999,17.049999,17.049999,1810000
17.23,17.23,17.23,17.23,17.23,2040000
17.290001,17.290001,17.290001,17.290001,17.290001,2210000
17.32,17.32,17.32,17.32,17.32,1490000
17.23,17.23,17.23,17.23,17.23,1360000
17.209999,17.209999,17.209999,17.209999,17.209999,1470000
17.280001,17.280001,17.280001,17.280001,17.280001,1810000
17.24,17.24,17.24,17.24,17.24,1790000
17.059999,17.059999,17.059999,17.059999,17.059999,2210000
17.059999,17.059999,17.059999,17.059999,17.059999,1730000
16.99,16.99,16.99,16.99,16.99,1920000
17.15,17.15,17.15,17.15,17.15,1940000
17.200001,17.200001,17.200001,17.200001,17.200001,1420000
17.17,17.17,17.17,17.17,17.17,1260000
17.209999,17.209999,17.209999,17.209999,17.209999,1310000
17.280001,17.280001,17.280001,17.280001,17.280001,1710000
17.280001,17.280001,17.280001,17.280001,17.280001,1410000
17.219999,17.219999,17.219999,17.219999,17.219999,1310000
17.24,17.24,17.24,17.24,17.24,1410000
17.23,17.23,17.23,17.23,17.23,1340000
17.290001,17.290001,17.290001,17.290001,17.290001,1520000
17.32,17.32,17.32,17.32,17.32,1470000
17.200001,17.200001,17.200001,17.200001,17.200001,1590000
17.190001,17.190001,17.190001,17.190001,17.190001,1360000
17.07,17.07,17.07,17.07,17.07,1330000
17.09,17.09,17.09,17.09,17.09,1260000
17.120001,17.120001,17.120001,17.120001,17.120001,1060000
17.25,17.25,17.25,17.25,17.25,1140000
17.450001,17.450001,17.450001,17.450001,17.450001,1830000
17.49,17.49,17.49,17.49,17.49,2060000
17.450001,17.450001,17.450001,17.450001,17.450001,1600000
17.440001,17.440001,17.440001,17.440001,17.440001,1430000
17.450001,17.450001,17.450001,17.450001,17.450001,1400000
17.549999,17.549999,17.549999,17.549999,17.549999,2010000
17.559999,17.559999,17.559999,17.559999,17.559999,2020000
17.559999,17.559999,17.559999,17.559999,17.559999,1570000
17.459999,17.459999,17.459999,17.459999,17.459999,1930000
17.530001,17.530001,17.530001,17.530001,17.530001,1780000
17.440001,17.440001,17.440001,17.440001,17.440001,2090000
17.299999,17.299999,17.299999,17.299999,17.299999,2370000
17.290001,17.290001,17.290001,17.290001,17.290001,1880000
17.530001,17.530001,17.530001,17.530001,17.530001,1570000
17.549999,17.549999,17.549999,17.549999,17.549999,2010000
17.629999,17.629999,17.629999,17.629999,17.629999,1430000
17.780001,17.780001,17.780001,17.780001,17.780001,2000000
17.85,17.85,17.85,17.85,17.85,2070000
17.75,17.75,17.75,17.75,17.75,2010000
17.940001,17.940001,17.940001,17.940001,17.940001,2010000
17.98,17.98,17.98,17.98,17.98,2410000
17.959999,17.959999,17.959999,17.959999,17.959999,2750000
17.879999,17.879999,17.879999,17.879999,17.879999,2520000
18.030001,18.030001,18.030001,18.030001,18.030001,3320000
18.049999,18.049999,18.049999,18.049999,18.049999,2950000
17.93,17.93,17.93,17.93,17.93,2590000
17.959999,17.959999,17.959999,17.959999,17.959999,2710000
17.83,17.83,17.83,17.83,17.83,2310000
17.83,17.83,17.83,17.83,17.83,1830000
17.76,17.76,17.76,17.76,17.76,1880000
17.860001,17.860001,17.860001,17.860001,17.860001,2070000
17.959999,17.959999,17.959999,17.959999,17.959999,2190000
18.219999,18.219999,18.219999,18.219999,18.219999,2390000
